FID,FEWS_ID,X,Y,REGION,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
0,YU01,0.0,0.0,Yukon,-138.201432326,62.7170553009,-137.216752531,62.8954641838
1,YU02,0.0,0.0,Yukon,-138.749989487,62.7456633656,-138.201432326,62.924122941
2,YU03,0.0,0.0,Yukon,-139.356752044,62.8289445008,-138.749989487,63.0311986863
3,YU04,0.0,0.0,Yukon,-139.666081974,62.9419688986,-139.356752044,63.2721191131
4,YU05,0.0,0.0,Yukon,-139.771039684,63.2721191131,-139.351659682,63.4795783696
5,YU06,0.0,0.0,Yukon,-139.813162408,63.4795783696,-139.622210662,63.9542808403
6,YU07,0.0,0.0,Yukon,-139.745347769,63.9542808403,-139.334890746,64.3058462039
7,YU08,0.0,0.0,Yukon,-140.348541134,64.2201856077,-139.745347769,64.4075681619
8,YU09,0.0,0.0,Yukon,-140.619799689,64.3308305444,-140.348541134,64.6163658651
9,YU10,0.0,0.0,Yukon,-141.023118329,64.5003671411,-140.619799689,64.7323645892
10,PO01,0.0,0.0,Porcupine,-138.489055892,66.4766726128,-137.88752815,66.7203294198
11,PO02,0.0,0.0,Porcupine,-138.028392241,66.7203294198,-137.621028517,66.9449505387
12,PO03,0.0,0.0,Porcupine,-137.817096104,66.9449505387,-137.442093049,67.2476179786
13,PO04,0.0,0.0,Porcupine,-138.11452873,67.2476179786,-137.708592682,67.5388640058
14,PO05,0.0,0.0,Porcupine,-138.71129755,67.4536793018,-138.11452873,67.6806798817
15,PO06,0.0,0.0,Porcupine,-139.462255443,67.4893712168,-138.71129755,67.650698673
16,PO07,0.0,0.0,Porcupine,-140.013338612,67.4622453614,-139.462255443,67.6407049368
17,PO08,0.0,0.0,Porcupine,-140.485899568,67.3580249693,-140.013338612,67.5578996938
18,PO09,0.0,0.0,Porcupine,-141.025561324,67.3908615312,-140.485899568,67.5065033361
